------------------------------------------------------------
Starting time:  19-Apr-2018   15:50:52
Serial: 0x49467b0c (ID: 0x007b4649)
Current Status: AUX1 AUX3
------------------------------------------------------------
timestamp	R0	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	Status/control	Status 2
1524124399.39	112	4	51	51	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124400.35	112	4	54	54	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124401.37	112	4	54	54	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124402.38	112	4	53	53	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124403.34	112	4	53	53	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124404.36	112	4	56	56	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124405.37	112	4	56	56	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124406.39	112	4	58	58	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124407.35	112	4	58	58	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124408.37	112	4	58	58	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124409.38	112	4	58	58	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124410.34	112	4	59	59	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124411.36	112	4	59	59	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124412.37	112	4	61	61	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124413.39	112	4	61	61	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124414.35	112	4	62	62	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124415.37	112	4	62	62	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124416.38	112	4	68	68	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124417.35	112	4	68	68	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124418.36	112	4	66	66	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124419.37	112	4	66	66	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124420.39	112	4	69	69	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124421.35	112	4	69	69	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124422.37	112	4	70	70	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124423.38	112	4	70	70	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124424.35	112	4	70	70	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124425.36	112	4	70	70	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124426.37	112	4	74	74	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124427.39	112	4	74	74	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124428.35	112	4	75	75	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124429.37	112	4	75	75	-1	-1	-1	-1	-1	-1	-1	-1	0x40000a00	0x00000000
1524124430.61	112	4	74	74	-1	-1	-1	-1	-1	-1	-1	-1	0x40000a00	0x00000000
1524124431.35	112	4	74	74	-1	-1	-1	-1	-1	-1	-1	-1	0x40000a00	0x00000000
1524124432.36	112	4	77	77	-1	-1	-1	-1	-1	-1	-1	-1	0x40000a00	0x00000000
1524124433.37	112	4	77	77	-1	-1	-1	-1	-1	-1	-1	-1	0x40000a00	0x00000000
1524124434.39	112	4	80	80	-1	-1	-1	-1	-1	-1	-1	-1	0x40000a00	0x00000000
1524124435.35	112	4	80	80	-1	-1	-1	-1	-1	-1	-1	-1	0x40000a00	0x00000000
1524124436.37	112	4	82	82	-1	-1	-1	-1	-1	-1	-1	-1	0x40000a00	0x00000000
1524124437.38	112	4	82	82	-1	-1	-1	-1	-1	-1	-1	-1	0x40000a00	0x00000000
1524124438.35	112	4	84	84	-1	-1	-1	-1	-1	-1	-1	-1	0x40000a00	0x00000000
1524124439.36	112	4	84	84	-1	-1	-1	-1	-1	-1	-1	-1	0x40000a00	0x00000000
